NO,Kelompok,Skor_DS,Skor_FOMO,Skor_DB,Norm_DS,Norm_FOMO,Norm_DB,Kategori_Aktual
192,Gamer,49,32,107,77.0833333333333,55,86.4583333333333,Tinggi
193,Gamer,26,14,81,29.1666666666667,10,59.375,Sedang
194,Gamer,32,28,87,41.6666666666667,45,65.625,Tinggi
195,Umum,36,24,89,50,35,67.7083333333333,Tinggi
196,Umum,19,30,77,14.5833333333333,50,55.2083333333333,Sedang
197,Umum,28,21,67,33.3333333333333,27.5,44.7916666666667,Sedang
198,Umum,31,27,71,39.5833333333333,42.5,48.9583333333333,Sedang
199,Umum,20,10,80,16.6666666666667,0,58.3333333333333,Sedang
200,Umum,32,27,73,41.6666666666667,42.5,51.0416666666667,Sedang
201,Gamer,28,10,36,33.3333333333333,0,12.5,Rendah
202,Umum,18,17,55,12.5,17.5,32.2916666666667,Rendah
203,Umum,35,24,89,47.9166666666667,35,67.7083333333333,Tinggi
204,Umum,45,37,89,68.75,67.5,67.7083333333333,Tinggi
205,Gamer,40,23,69,58.3333333333333,32.5,46.875,Sedang
206,Umum,31,30,91,39.5833333333333,50,69.7916666666667,Tinggi
207,Gamer,55,49,113,89.5833333333333,97.5,92.7083333333333,Tinggi
208,Umum,33,15,78,43.75,12.5,56.25,Sedang
209,Gamer,26,30,80,29.1666666666667,50,58.3333333333333,Sedang
210,Umum,38,27,80,54.1666666666667,42.5,58.3333333333333,Sedang
211,Umum,24,10,83,25,0,61.4583333333333,Tinggi
212,Umum,21,23,85,18.75,32.5,63.5416666666667,Tinggi
213,Umum,25,25,63,27.0833333333333,37.5,40.625,Sedang
214,Umum,24,28,82,25,45,60.4166666666667,Tinggi
215,Umum,31,19,66,39.5833333333333,22.5,43.75,Sedang
216,Umum,29,25,74,35.4166666666667,37.5,52.0833333333333,Sedang
217,Gamer,18,13,43,12.5,7.5,19.7916666666667,Rendah
218,Umum,25,26,55,27.0833333333333,40,32.2916666666667,Rendah
219,Gamer,37,30,75,52.0833333333333,50,53.125,Sedang
220,Gamer,37,11,110,52.0833333333333,2.5,89.5833333333333,Tinggi
221,Umum,37,27,69,52.0833333333333,42.5,46.875,Sedang
222,Umum,23,18,56,22.9166666666667,20,33.3333333333333,Rendah
223,Umum,37,37,109,52.0833333333333,67.5,88.5416666666667,Tinggi
