NO,Kelompok,Norm_DS,DS_Rendah,DS_Sedang,DS_Tinggi,Norm_FOMO,FOMO_Rendah,FOMO_Sedang,FOMO_Tinggi
141,Umum,25,1,0,0,25,1,0,0
142,Gamer,0,0,0,0,5,1,0,0
143,Umum,45.8333333333333,0,0.791666666666665,0,27.5,0.75,0,0
144,Umum,58.3333333333333,0,0.583333333333335,0,50,0,1,0
145,Umum,33.3333333333333,0.16666666666667,0.166666666666665,0,40,0,0.5,0
146,Gamer,52.0833333333333,0,0.895833333333335,0,47.5,0,0.875,0
147,Umum,54.1666666666667,0,0.791666666666665,0,22.5,1,0,0
148,Gamer,72.9166666666667,0,0,0.79166666666667,60,0,0.5,0
149,Umum,27.0833333333333,0.79166666666667,0,0,7.5,1,0,0
150,Umum,83.3333333333333,0,0,1,10,1,0,0
151,Umum,33.3333333333333,0.16666666666667,0.166666666666665,0,27.5,0.75,0,0
152,Umum,43.75,0,0.6875,0,35,0,0.25,0
153,Umum,47.9166666666667,0,0.895833333333335,0,47.5,0,0.875,0
154,Umum,47.9166666666667,0,0.895833333333335,0,50,0,1,0
155,Umum,52.0833333333333,0,0.895833333333335,0,77.5,0,0,1
156,Umum,27.0833333333333,0.79166666666667,0,0,25,1,0,0
157,Umum,20.8333333333333,1,0,0,55,0,0.75,0
158,Gamer,85.4166666666667,0,0,1,77.5,0,0,1
159,Umum,35.4166666666667,0,0.270833333333335,0,25,1,0,0
160,Umum,62.5,0,0.375,0,40,0,0.5,0
161,Umum,27.0833333333333,0.79166666666667,0,0,25,1,0,0
162,Gamer,64.5833333333333,0,0.270833333333335,0,35,0,0.25,0
163,Umum,4.16666666666667,1,0,0,12.5,1,0,0
164,Umum,37.5,0,0.375,0,60,0,0.5,0
165,Gamer,27.0833333333333,0.79166666666667,0,0,12.5,1,0,0
166,Gamer,25,1,0,0,15,1,0,0
167,Umum,18.75,1,0,0,5,1,0,0
168,Umum,12.5,1,0,0,47.5,0,0.875,0
169,Umum,18.75,1,0,0,35,0,0.25,0
170,Umum,22.9166666666667,1,0,0,82.5,0,0,1
171,Gamer,27.0833333333333,0.79166666666667,0,0,77.5,0,0,1
172,Umum,72.9166666666667,0,0,0.79166666666667,20,1,0,0
173,Umum,31.25,0.375,0.0625,0,52.5,0,0.875,0
174,Gamer,29.1666666666667,0.58333333333333,0,0,30,0.5,0,0
175,Umum,29.1666666666667,0.58333333333333,0,0,5,1,0,0
176,Umum,47.9166666666667,0,0.895833333333335,0,37.5,0,0.375,0
177,Umum,8.33333333333333,1,0,0,15,1,0,0
178,Umum,6.25,1,0,0,2.5,1,0,0
179,Gamer,64.5833333333333,0,0.270833333333335,0,12.5,1,0,0
180,Umum,22.9166666666667,1,0,0,42.5,0,0.625,0
181,Umum,18.75,1,0,0,20,1,0,0
182,Gamer,35.4166666666667,0,0.270833333333335,0,27.5,0.75,0,0
183,Umum,60.4166666666667,0,0.479166666666665,0,47.5,0,0.875,0
184,Umum,33.3333333333333,0.16666666666667,0.166666666666665,0,5,1,0,0
185,Gamer,33.3333333333333,0.16666666666667,0.166666666666665,0,37.5,0,0.375,0
186,Gamer,54.1666666666667,0,0.791666666666665,0,52.5,0,0.875,0
187,Umum,14.5833333333333,1,0,0,35,0,0.25,0
188,Umum,52.0833333333333,0,0.895833333333335,0,77.5,0,0,1
189,Gamer,62.5,0,0.375,0,42.5,0,0.625,0
190,Gamer,25,1,0,0,10,1,0,0
191,Umum,41.6666666666667,0,0.583333333333335,0,40,0,0.5,0
192,Gamer,77.0833333333333,0,0,1,55,0,0.75,0
193,Gamer,29.1666666666667,0.58333333333333,0,0,10,1,0,0
194,Gamer,41.6666666666667,0,0.583333333333335,0,45,0,0.75,0
195,Umum,50,0,1,0,35,0,0.25,0
196,Umum,14.5833333333333,1,0,0,50,0,1,0
197,Umum,33.3333333333333,0.16666666666667,0.166666666666665,0,27.5,0.75,0,0
198,Umum,39.5833333333333,0,0.479166666666665,0,42.5,0,0.625,0
199,Umum,16.6666666666667,1,0,0,0,0,0,0
200,Umum,41.6666666666667,0,0.583333333333335,0,42.5,0,0.625,0
201,Gamer,33.3333333333333,0.16666666666667,0.166666666666665,0,0,0,0,0
202,Umum,12.5,1,0,0,17.5,1,0,0
203,Umum,47.9166666666667,0,0.895833333333335,0,35,0,0.25,0
204,Umum,68.75,0,0.0625,0.375,67.5,0,0.125,0.25
205,Gamer,58.3333333333333,0,0.583333333333335,0,32.5,0.25,0.125,0
206,Umum,39.5833333333333,0,0.479166666666665,0,50,0,1,0
207,Gamer,89.5833333333333,0,0,1,97.5,0,0,1
208,Umum,43.75,0,0.6875,0,12.5,1,0,0
209,Gamer,29.1666666666667,0.58333333333333,0,0,50,0,1,0
210,Umum,54.1666666666667,0,0.791666666666665,0,42.5,0,0.625,0
211,Umum,25,1,0,0,0,0,0,0
212,Umum,18.75,1,0,0,32.5,0.25,0.125,0
213,Umum,27.0833333333333,0.79166666666667,0,0,37.5,0,0.375,0
214,Umum,25,1,0,0,45,0,0.75,0
215,Umum,39.5833333333333,0,0.479166666666665,0,22.5,1,0,0
216,Umum,35.4166666666667,0,0.270833333333335,0,37.5,0,0.375,0
217,Gamer,12.5,1,0,0,7.5,1,0,0
218,Umum,27.0833333333333,0.79166666666667,0,0,40,0,0.5,0
219,Gamer,52.0833333333333,0,0.895833333333335,0,50,0,1,0
220,Gamer,52.0833333333333,0,0.895833333333335,0,2.5,1,0,0
221,Umum,52.0833333333333,0,0.895833333333335,0,42.5,0,0.625,0
222,Umum,22.9166666666667,1,0,0,20,1,0,0
223,Umum,52.0833333333333,0,0.895833333333335,0,67.5,0,0.125,0.25
224,Umum,25,1,0,0,5,1,0,0
225,Umum,25,1,0,0,45,0,0.75,0
226,Gamer,20.8333333333333,1,0,0,0,0,0,0
227,Gamer,41.6666666666667,0,0.583333333333335,0,30,0.5,0,0
228,Umum,8.33333333333333,1,0,0,5,1,0,0
229,Umum,6.25,1,0,0,35,0,0.25,0
230,Umum,70.8333333333333,0,0,0.58333333333333,12.5,1,0,0
231,Umum,35.4166666666667,0,0.270833333333335,0,32.5,0.25,0.125,0
232,Umum,47.9166666666667,0,0.895833333333335,0,35,0,0.25,0
233,Umum,4.16666666666667,1,0,0,0,0,0,0
234,Umum,54.1666666666667,0,0.791666666666665,0,57.5,0,0.625,0
235,Umum,18.75,1,0,0,17.5,1,0,0
236,Umum,37.5,0,0.375,0,97.5,0,0,1
237,Umum,45.8333333333333,0,0.791666666666665,0,70,0,0,0.5
238,Umum,25,1,0,0,17.5,1,0,0
239,Gamer,29.1666666666667,0.58333333333333,0,0,10,1,0,0
240,Umum,22.9166666666667,1,0,0,15,1,0,0
241,Umum,31.25,0.375,0.0625,0,35,0,0.25,0
242,Gamer,2.08333333333333,1,0,0,0,0,0,0
243,Umum,25,1,0,0,32.5,0.25,0.125,0
244,Umum,41.6666666666667,0,0.583333333333335,0,22.5,1,0,0
245,Umum,31.25,0.375,0.0625,0,20,1,0,0
246,Umum,31.25,0.375,0.0625,0,37.5,0,0.375,0
247,Umum,75,0,0,1,65,0,0.25,0
248,Gamer,33.3333333333333,0.16666666666667,0.166666666666665,0,50,0,1,0
249,Gamer,33.3333333333333,0.16666666666667,0.166666666666665,0,45,0,0.75,0
250,Umum,29.1666666666667,0.58333333333333,0,0,35,0,0.25,0
251,Umum,25,1,0,0,15,1,0,0
252,Gamer,58.3333333333333,0,0.583333333333335,0,70,0,0,0.5
253,Umum,8.33333333333333,1,0,0,15,1,0,0
254,Gamer,14.5833333333333,1,0,0,22.5,1,0,0
255,Gamer,33.3333333333333,0.16666666666667,0.166666666666665,0,25,1,0,0
256,Umum,31.25,0.375,0.0625,0,45,0,0.75,0
257,Gamer,66.6666666666667,0,0.166666666666665,0.16666666666667,60,0,0.5,0
258,Gamer,77.0833333333333,0,0,1,75,0,0,1
259,Gamer,81.25,0,0,1,77.5,0,0,1
260,Umum,12.5,1,0,0,20,1,0,0
261,Gamer,31.25,0.375,0.0625,0,30,0.5,0,0
262,Gamer,77.0833333333333,0,0,1,77.5,0,0,1
263,Gamer,81.25,0,0,1,80,0,0,1
264,Umum,70.8333333333333,0,0,0.58333333333333,80,0,0,1
265,Gamer,29.1666666666667,0.58333333333333,0,0,25,1,0,0
266,Gamer,79.1666666666667,0,0,1,77.5,0,0,1
267,Gamer,70.8333333333333,0,0,0.58333333333333,75,0,0,1
268,Gamer,31.25,0.375,0.0625,0,22.5,1,0,0
269,Gamer,77.0833333333333,0,0,1,75,0,0,1
270,Umum,72.9166666666667,0,0,0.79166666666667,82.5,0,0,1
271,Umum,72.9166666666667,0,0,0.79166666666667,70,0,0,0.5
272,Umum,79.1666666666667,0,0,1,77.5,0,0,1
273,Umum,72.9166666666667,0,0,0.79166666666667,82.5,0,0,1
274,Gamer,83.3333333333333,0,0,1,80,0,0,1
275,Gamer,87.5,0,0,1,85,0,0,1
276,Gamer,85.4166666666667,0,0,1,82.5,0,0,1
277,Gamer,87.5,0,0,1,77.5,0,0,1
278,Gamer,81.25,0,0,1,82.5,0,0,1
279,Gamer,87.5,0,0,1,82.5,0,0,1
280,Gamer,18.75,1,0,0,15,1,0,0
281,Gamer,18.75,1,0,0,12.5,1,0,0
282,Gamer,85.4166666666667,0,0,1,85,0,0,1
283,Gamer,16.6666666666667,1,0,0,17.5,1,0,0
284,Umum,22.9166666666667,1,0,0,17.5,1,0,0
285,Umum,18.75,1,0,0,17.5,1,0,0
286,Umum,18.75,1,0,0,20,1,0,0
287,Umum,20.8333333333333,1,0,0,17.5,1,0,0
288,Umum,22.9166666666667,1,0,0,25,1,0,0
289,Gamer,83.3333333333333,0,0,1,80,0,0,1
290,Gamer,20.8333333333333,1,0,0,20,1,0,0
291,Gamer,18.75,1,0,0,20,1,0,0
292,Gamer,79.1666666666667,0,0,1,85,0,0,1
293,Gamer,81.25,0,0,1,80,0,0,1
294,Gamer,52.0833333333333,0,0.895833333333335,0,32.5,0.25,0.125,0
